date,texts,labels,sources,scores
2020-01-02,"['Microsoft downgrade followed weak Azure cloud services and lower outlook .', 'Microsoft Azure cloud services valuations remained within historical ranges .', 'Microsoft enterprise software valuations remained within historical ranges .', 'Microsoft maintained stable Office and productivity operations with results in line .', 'Microsoft operational activity in enterprise software continued normal trajectory .', 'Microsoft disappointing AI and gaming results led to sell-off and negative sentiment .']","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'negative']","['synthetic_fill', 'synthetic_fill', 'synthetic_fill', 'synthetic', 'synthetic', 'synthetic']","[-1.0, 0.0, 0.0, 0.0, 0.0, -1.0]"
2020-01-03,"['Microsoft recall and fine risk created uncertainty for Azure cloud services .', 'Microsoft maintained stable enterprise software operations with results in line .', 'Microsoft management discussed enterprise software strategy at the briefing .']","['negative', 'neutral', 'neutral']","['synthetic', 'synthetic', 'synthetic']","[-1.0, 0.0, 0.0]"
2020-01-06,"['Microsoft faces lawsuit risk and penalty concern impacting Azure cloud services .', 'Microsoft AI and gaming business continued gradual development this quarter .', 'Microsoft faces lawsuit risk and penalty concern impacting enterprise software .']","['negative', 'neutral', 'negative']","['synthetic', 'synthetic', 'synthetic']","[-1.0, 0.0, -1.0]"
2020-01-07,"['Microsoft reported AI and gaming performance consistent with consensus .', 'Microsoft market activity reflected standard Office and productivity volumes .', 'Microsoft operational activity in enterprise software continued normal trajectory .']","['neutral', 'neutral', 'neutral']","['synthetic', 'synthetic', 'synthetic']","[0.0, 0.0, 0.0]"
2020-01-08,"['Microsoft cut its forecast citing risk of AI and gaming contraction .', 'Microsoft warning about Azure cloud services decline raised concern among investors .', 'Microsoft cut its forecast citing risk of Azure cloud services contraction .']","['negative', 'negative', 'negative']","['synthetic', 'synthetic', 'synthetic']","[-1.0, -1.0, -1.0]"
2020-01-09,"['Microsoft recovery in enterprise software drove higher profit and record revenue increase .', 'Microsoft outperform the sector with strong Azure cloud services demand and efficient operations .', 'Microsoft beat estimates with improved margin and rising Office and productivity momentum .']","['positive', 'positive', 'positive']","['synthetic', 'synthetic', 'synthetic']","[1.0, 1.0, 1.0]"
2020-01-10,"['Microsoft reported strong profit growth driven by higher Office and productivity demand .', 'Microsoft disappointing enterprise software results led to sell-off and negative sentiment .', 'Microsoft fell amid uncertainty over Azure cloud services and downside risk .']","['positive', 'positive', 'negative']","['synthetic', 'synthetic', 'synthetic']","[1.0, -1.0, -1.0]"
2020-01-13,"['Microsoft traded in a narrow range as Office and productivity news was expected .', 'Microsoft impairment and writedown from Azure cloud services reduced overall profit .', 'Microsoft scheduled Office and productivity business review with typical agenda .']","['neutral', 'neutral', 'neutral']","['synthetic', 'synthetic', 'synthetic']","[0.0, -1.0, 0.0]"
2020-01-14,"['Microsoft fell amid uncertainty over Azure cloud services and downside risk .', 'Microsoft delivered record profit reflecting innovation in Office and productivity .', 'Microsoft industry observers noted mixed signals for Office and productivity .']","['negative', 'positive', 'neutral']","['synthetic', 'synthetic', 'synthetic']","[-1.0, 1.0, 0.0]"
2020-01-15,"['Microsoft exceeded revenue targets as rising enterprise software demand boosted growth .', 'Microsoft released standard enterprise software financial disclosures and filings .', 'Microsoft provided update on Office and productivity operations and near-term plans .']","['positive', 'neutral', 'neutral']","['synthetic', 'synthetic', 'synthetic']","[1.0, 0.0, 0.0]"
2020-01-16,"['Microsoft governance review of Office and productivity operations found no issues .', 'Microsoft governance review of Office and productivity operations found no issues .', 'Microsoft delivered record profit reflecting innovation in enterprise software .']","['positive', 'positive', 'positive']","['synthetic', 'synthetic', 'synthetic']","[0.0, 0.0, 1.0]"
2020-01-17,"['Microsoft acquisition strengthens Office and productivity and boosts revenue upside .', 'Microsoft exceeded revenue targets as rising Azure cloud services demand boosted growth .', 'Microsoft shares soared after record Office and productivity revenue and strong profit gain .']","['negative', 'positive', 'positive']","['synthetic', 'synthetic', 'synthetic']","[1.0, 1.0, 1.0]"
