date,texts,labels,sources,scores
2020-01-02,"['Meta quarterly review highlighted steady Reels and short video performance .', 'Meta confirmed alignment with Reels and short video priorities announced earlier .', 'Meta operational activity in advertising revenue continued normal trajectory .', 'Meta operational activity in Reels and short video continued normal trajectory .', 'Meta recall and fine risk created uncertainty for advertising revenue .', 'Meta outperform the sector with strong platform development demand and efficient operations .']","['neutral', 'neutral', 'neutral', 'neutral', 'negative', 'positive']","['synthetic_fill', 'synthetic_fill', 'synthetic_fill', 'synthetic', 'synthetic', 'synthetic']","[0.0, 0.0, 0.8225834059619181, 0.0, -1.0, 1.0]"
2020-01-03,"['Meta breakthrough in Reels and short video drove innovation and profit expansion .', 'Meta faces lawsuit risk and penalty concern impacting advertising revenue .', 'Meta sector conditions showed typical patterns for user engagement growth .']","['positive', 'positive', 'neutral']","['synthetic', 'synthetic', 'synthetic']","[1.0, -1.0, 0.9060320817395346]"
2020-01-06,"['Meta debt and advertising revenue decline created financial pressure .', 'Meta recovery in advertising revenue drove higher profit and record revenue increase .', 'Meta maintained stable user engagement growth operations with results in line .']","['negative', 'positive', 'negative']","['synthetic', 'synthetic', 'synthetic']","[-1.0, 1.0, 0.8638676945949509]"
2020-01-07,"['Meta delivered record profit reflecting innovation in user engagement growth .', 'Meta recovery in user engagement growth drove higher profit and record revenue increase .', 'Meta benefited from rising demand for advertising revenue with improved profit margin .']","['positive', 'positive', 'positive']","['synthetic', 'synthetic', 'synthetic']","[1.0, 1.0, 1.0]"
2020-01-08,"['Meta reduced user engagement growth investment amid concern about further losses .', 'Meta user engagement growth business continued gradual development this quarter .', 'Meta surged on positive outlook for advertising revenue with higher revenue .']","['negative', 'neutral', 'positive']","['synthetic', 'synthetic', 'synthetic']","[-1.0, 0.9060320817395346, 1.0]"
2020-01-09,"['Meta Reels and short video outlook remains mixed with balanced factors .', 'Meta return on platform development investment exceeded expectations with surplus .', 'Meta upgrade by analysts citing strong platform development growth and higher margin .']","['neutral', 'positive', 'positive']","['synthetic', 'synthetic', 'synthetic']","[0.0, 1.0, 1.0]"
2020-01-10,"['Meta governance review of Reels and short video operations found no issues .', 'Meta posted record revenue as platform development surged beyond expectations .', 'Meta announced partnership to boost platform development growth and revenue gain .']","['neutral', 'positive', 'positive']","['synthetic', 'synthetic', 'synthetic']","[0.0, 1.0, 1.0]"
2020-01-13,"['Meta impairment and writedown from Reels and short video reduced overall profit .', 'Meta announced layoffs amid user engagement growth slowdown and restructuring .', 'Meta reported user engagement growth performance consistent with consensus .']","['negative', 'negative', 'neutral']","['synthetic', 'synthetic', 'synthetic']","[-1.0, -1.0, 0.9550416704935939]"
2020-01-14,"['Meta benefited from rising demand for user engagement growth with improved profit margin .', 'Meta win major deals boosting momentum in Reels and short video revenue expansion .', 'Meta acquisition strengthens platform development and boosts revenue upside .']","['positive', 'positive', 'positive']","['synthetic', 'synthetic', 'synthetic']","[1.0, 1.0, 1.0]"
2020-01-15,"['Meta benefited from rising demand for user engagement growth with improved profit margin .', 'Meta benefited from rising demand for advertising revenue with improved profit margin .', 'Meta impairment and writedown from user engagement growth reduced overall profit .']","['positive', 'positive', 'neutral']","['synthetic', 'synthetic', 'synthetic']","[1.0, 1.0, -1.0]"
