date,texts,labels,sources,scores
2020-01-02,"['Amazon advertising revenue outlook remains mixed with balanced factors .', 'Amazon e-commerce operations outlook remains mixed with balanced factors .', 'Amazon released standard Prime membership financial disclosures and filings .', 'Amazon reported strong profit growth driven by higher Prime membership demand .', 'Amazon faces lawsuit risk and penalty concern impacting e-commerce operations .', 'Amazon win major deals boosting momentum in AWS cloud services revenue expansion .']","['neutral', 'neutral', 'neutral', 'positive', 'neutral', 'positive']","['synthetic_fill', 'synthetic_fill', 'synthetic_fill', 'synthetic', 'synthetic', 'synthetic']","[0.8225834059619181, 0.0, 0.0, 1.0, -1.0, 1.0]"
2020-01-03,"['Amazon beat estimates with improved margin and rising advertising revenue momentum .', 'Amazon beat estimates with improved margin and rising e-commerce operations momentum .', 'Amazon traded in a narrow range as AWS cloud services news was expected .']","['neutral', 'neutral', 'neutral']","['synthetic', 'synthetic', 'synthetic']","[1.0, 1.0, 0.0]"
2020-01-06,"['Amazon profit drop amid advertising revenue weakness raised default concern .', 'Amazon industry observers noted mixed signals for Prime membership .', 'Amazon released standard Prime membership financial disclosures and filings .']","['negative', 'neutral', 'neutral']","['synthetic', 'synthetic', 'synthetic']","[-1.0, 0.0, 0.0]"
2020-01-07,"['Amazon fell amid uncertainty over AWS cloud services and downside risk .', 'Amazon recovery in Prime membership drove higher profit and record revenue increase .', 'Amazon scheduled e-commerce operations business review with typical agenda .']","['positive', 'positive', 'neutral']","['synthetic', 'synthetic', 'synthetic']","[-1.0, 1.0, 0.0]"
2020-01-08,"['Amazon reported e-commerce operations performance consistent with consensus .', 'Amazon provided update on AWS cloud services operations and near-term plans .', 'Amazon confirmed alignment with AWS cloud services priorities announced earlier .']","['neutral', 'neutral', 'neutral']","['synthetic', 'synthetic', 'synthetic']","[0.0, 0.0, 0.0]"
2020-01-09,"['Amazon debt and e-commerce operations decline created financial pressure .', 'Amazon quarterly review highlighted steady AWS cloud services performance .', 'Amazon reported loss as Prime membership revenue fell amid weak demand .']","['negative', 'neutral', 'negative']","['synthetic', 'synthetic', 'synthetic']","[-1.0, 0.0, -1.0]"
2020-01-10,"['Amazon provided update on e-commerce operations operations and near-term plans .', 'Amazon impairment and writedown from AWS cloud services reduced overall profit .', 'Amazon maintained stable advertising revenue operations with results in line .']","['neutral', 'negative', 'neutral']","['synthetic', 'synthetic', 'synthetic']","[0.0, -1.0, 0.7803711384895772]"
2020-01-13,"['Amazon reduced AWS cloud services investment amid concern about further losses .', 'Amazon missed AWS cloud services targets as demand decrease and slowdown continued .', 'Amazon provided update on advertising revenue operations and near-term plans .']","['negative', 'negative', 'neutral']","['synthetic', 'synthetic', 'synthetic']","[-1.0, -1.0, 0.7803711384895772]"
2020-01-14,"['Amazon traded in a narrow range as AWS cloud services news was expected .', 'Amazon announced routine updates on Prime membership business plans .', 'Amazon reduced AWS cloud services investment amid concern about further losses .']","['neutral', 'neutral', 'negative']","['synthetic', 'synthetic', 'synthetic']","[0.0, 0.0, -1.0]"
2020-01-15,"['Amazon losses and deficit from AWS cloud services challenges disappointed investors .', 'Amazon debt and advertising revenue decline created financial pressure .', 'Amazon losses and deficit from advertising revenue challenges disappointed investors .']","['negative', 'neutral', 'negative']","['synthetic', 'synthetic', 'synthetic']","[-1.0, -1.0, -1.0]"
2020-01-16,"['Amazon AWS cloud services outlook remains mixed with balanced factors .', 'Amazon AWS cloud services business continued gradual development this quarter .', 'Amazon announced routine updates on e-commerce operations business plans .']","['neutral', 'neutral', 'neutral']","['synthetic', 'synthetic', 'synthetic']","[0.0, 0.0, 0.0]"
2020-01-17,"['Amazon advertising revenue metrics tracked within expected parameters .', 'Amazon operational activity in AWS cloud services continued normal trajectory .', 'Amazon upgrade by analysts citing strong e-commerce operations growth and higher margin .']","['neutral', 'positive', 'positive']","['synthetic', 'synthetic', 'synthetic']","[0.8724814566707985, 0.0, 1.0]"
2020-01-21,"['Amazon confirmed alignment with Prime membership priorities announced earlier .', 'Amazon reported losses driven by weak advertising revenue with lower margins .', 'Amazon confirmed alignment with e-commerce operations priorities announced earlier .', 'Amazon governance review of Prime membership operations found no issues .', 'Amazon sector conditions showed typical patterns for Prime membership .', 'Amazon quarterly review highlighted steady advertising revenue performance .']","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']","['synthetic_fill', 'synthetic_fill', 'synthetic_fill', 'synthetic', 'synthetic', 'synthetic']","[0.0, -1.0, 0.0, 0.0, 0.0, 0.8724814566707985]"
2020-01-22,"['Amazon exceeded revenue targets as rising e-commerce operations demand boosted growth .', 'Amazon governance review of AWS cloud services operations found no issues .', 'Amazon acquisition strengthens AWS cloud services and boosts revenue upside .']","['positive', 'neutral', 'positive']","['synthetic', 'synthetic', 'synthetic']","[1.0, 0.0, 1.0]"
2020-01-23,"['Amazon achieved robust expansion with strong gain in advertising revenue .', 'Amazon impairment and writedown from AWS cloud services reduced overall profit .', 'Amazon sector conditions showed typical patterns for e-commerce operations .']","['positive', 'negative', 'neutral']","['synthetic', 'synthetic', 'synthetic']","[1.0, -1.0, 0.0]"
2020-01-24,"['Amazon governance review of e-commerce operations operations found no issues .', 'Amazon participated in conference with AWS cloud services presentations .', 'Amazon reduced AWS cloud services investment amid concern about further losses .']","['neutral', 'neutral', 'negative']","['synthetic', 'synthetic', 'synthetic']","[0.0, 0.0, -1.0]"
2020-01-27,"['Amazon participated in conference with AWS cloud services presentations .', 'Amazon sector conditions showed typical patterns for e-commerce operations .', 'Amazon outperform the sector with strong e-commerce operations demand and efficient operations .']","['neutral', 'neutral', 'neutral']","['synthetic', 'synthetic', 'synthetic']","[0.0, 0.0, 1.0]"
2020-01-28,"['Amazon shares dropped on weak e-commerce operations demand and lower guidance .', 'Amazon slower Prime membership demand and falling margins proved disappointing .', 'Amazon delivered record profit reflecting innovation in advertising revenue .']","['negative', 'negative', 'negative']","['synthetic', 'synthetic', 'synthetic']","[-1.0, -1.0, 1.0]"
2020-01-29,"['Amazon reduced Prime membership investment amid concern about further losses .', 'Amazon exceeded revenue targets as rising e-commerce operations demand boosted growth .', 'Amazon recovery in advertising revenue drove higher profit and record revenue increase .']","['positive', 'positive', 'positive']","['synthetic', 'synthetic', 'synthetic']","[-1.0, 1.0, 1.0]"
2020-01-30,"['Amazon market activity reflected standard advertising revenue volumes .', 'Amazon debt and Prime membership decline created financial pressure .', 'Amazon Prime membership outlook remains mixed with balanced factors .']","['neutral', 'negative', 'neutral']","['synthetic', 'synthetic', 'synthetic']","[0.8724814566707985, -1.0, 0.0]"
2020-01-31,"['Amazon operational activity in AWS cloud services continued normal trajectory .', 'Amazon announced partnership to boost advertising revenue growth and revenue gain .', 'Amazon released standard Prime membership financial disclosures and filings .']","['positive', 'negative', 'neutral']","['synthetic', 'synthetic', 'synthetic']","[0.0, 1.0, 0.0]"
2020-02-03,"['Amazon reported strong profit growth driven by higher AWS cloud services demand .', 'Amazon Prime membership business continued gradual development this quarter .', 'Amazon market activity reflected standard Prime membership volumes .']","['positive', 'neutral', 'neutral']","['synthetic', 'synthetic', 'synthetic']","[1.0, 0.0, 0.0]"
2020-02-04,"['Amazon losses and deficit from AWS cloud services challenges disappointed investors .', 'Amazon released standard advertising revenue financial disclosures and filings .', 'Amazon participated in conference with AWS cloud services presentations .']","['negative', 'neutral', 'neutral']","['synthetic', 'synthetic', 'synthetic']","[-1.0, 0.8225834059619181, 0.0]"
2020-02-05,"['Amazon posted record revenue as Prime membership surged beyond expectations .', 'Amazon reported losses driven by weak Prime membership with lower margins .', 'Amazon surged on positive outlook for AWS cloud services with higher revenue .']","['positive', 'negative', 'positive']","['synthetic', 'synthetic', 'synthetic']","[1.0, -1.0, 1.0]"
2020-02-06,"['Amazon governance review of AWS cloud services operations found no issues .', 'Amazon raised its growth forecast citing strong e-commerce operations demand .', 'Amazon hiring surge reflects robust AWS cloud services demand and growth momentum .']","['neutral', 'positive', 'positive']","['synthetic', 'synthetic', 'synthetic']","[0.0, 1.0, 1.0]"
2020-02-07,"['Amazon faced pressure from advertising revenue decline and reduced margins .', 'Amazon reported strong profit growth driven by higher AWS cloud services demand .', 'Amazon recovery in advertising revenue drove higher profit and record revenue increase .']","['negative', 'positive', 'positive']","['synthetic', 'synthetic', 'synthetic']","[-1.0, 1.0, 1.0]"
2020-02-10,"['Amazon missed estimates with disappointing Prime membership decline .', 'Amazon benefited from rising demand for advertising revenue with improved profit margin .', 'Amazon slower Prime membership demand and falling margins proved disappointing .']","['negative', 'positive', 'negative']","['synthetic', 'synthetic', 'synthetic']","[-1.0, 1.0, -1.0]"
