date,texts,labels,sources,scores
2020-01-02,"['Apple management discussed iPhone sales strategy at the briefing .', 'Apple market activity reflected standard iPhone sales volumes .', 'Apple shares soared after record wearables and accessories revenue and strong profit gain .', 'Apple faces lawsuit risk and penalty concern impacting Mac and iPad revenue .', 'Apple benefited from rising demand for services and App Store with improved profit margin .', 'Apple confirmed alignment with wearables and accessories priorities announced earlier .']","['neutral', 'neutral', 'neutral', 'neutral', 'positive', 'neutral']","['synthetic_fill', 'synthetic_fill', 'synthetic_fill', 'synthetic', 'synthetic', 'synthetic']","[0.0, 0.0, 1.0, -1.0, 1.0, 0.0]"
2020-01-03,"['Apple governance review of wearables and accessories operations found no issues .', 'Apple maintained stable wearables and accessories operations with results in line .', 'Apple maintained stable iPhone sales operations with results in line .']","['neutral', 'neutral', 'neutral']","['synthetic', 'synthetic', 'synthetic']","[0.0, 0.0, 0.0]"
2020-01-06,"['Apple reported loss as Mac and iPad revenue revenue fell amid weak demand .', 'Apple faces lawsuit risk and penalty concern impacting Mac and iPad revenue .', 'Apple iPhone sales outlook remains mixed with balanced factors .']","['negative', 'positive', 'neutral']","['synthetic', 'synthetic', 'synthetic']","[-1.0, -1.0, 0.0]"
2020-01-07,"['Apple debt and iPhone sales decline created financial pressure .', 'Apple outperform the sector with strong iPhone sales demand and efficient operations .', 'Apple reported services and App Store performance consistent with consensus .']","['positive', 'positive', 'positive']","['synthetic', 'synthetic', 'synthetic']","[-1.0, 1.0, 0.0]"
2020-01-08,"['Apple surged on positive outlook for services and App Store with higher revenue .', 'Apple posted record revenue as Mac and iPad revenue surged beyond expectations .', 'Apple management discussed Mac and iPad revenue strategy at the briefing .']","['positive', 'positive', 'neutral']","['synthetic', 'synthetic', 'synthetic']","[1.0, 1.0, 0.7440546862768029]"
2020-01-09,"['Apple hiring surge reflects robust iPhone sales demand and growth momentum .', 'Apple return on services and App Store investment exceeded expectations with surplus .', 'Apple recovery in services and App Store drove higher profit and record revenue increase .']","['positive', 'positive', 'positive']","['synthetic', 'synthetic', 'synthetic']","[1.0, 1.0, 1.0]"
2020-01-10,"['Apple quarterly review highlighted steady services and App Store performance .', 'Apple participated in conference with Mac and iPad revenue presentations .', 'Apple Mac and iPad revenue outlook remains mixed with balanced factors .']","['neutral', 'positive', 'neutral']","['synthetic', 'synthetic', 'synthetic']","[0.0, 0.7803711384895772, 0.7440546862768029]"
2020-01-13,"['Apple management discussed services and App Store strategy at the briefing .', 'Apple maintained stable iPhone sales operations with results in line .', 'Apple beat estimates with improved margin and rising Mac and iPad revenue momentum .']","['neutral', 'neutral', 'positive']","['synthetic', 'synthetic', 'synthetic']","[0.0, 0.0, 1.0]"
2020-01-14,"['Apple shares dropped on weak Mac and iPad revenue demand and lower guidance .', 'Apple outperform the sector with strong iPhone sales demand and efficient operations .', 'Apple provided update on iPhone sales operations and near-term plans .']","['negative', 'positive', 'positive']","['synthetic', 'synthetic', 'synthetic']","[-1.0, 1.0, 0.0]"
2020-01-15,"['Apple hiring surge reflects robust iPhone sales demand and growth momentum .', 'Apple losses and deficit from iPhone sales challenges disappointed investors .', 'Apple missed estimates with disappointing Mac and iPad revenue decline .']","['positive', 'negative', 'negative']","['synthetic', 'synthetic', 'synthetic']","[1.0, -1.0, -1.0]"
2020-01-16,"['Apple recall and fine risk created uncertainty for wearables and accessories .', 'Apple traded in a narrow range as wearables and accessories news was expected .', 'Apple market activity reflected standard wearables and accessories volumes .']","['negative', 'neutral', 'neutral']","['synthetic', 'synthetic', 'synthetic']","[-1.0, 0.0, 0.0]"
2020-01-17,"['Apple fell amid uncertainty over wearables and accessories and downside risk .', 'Apple posted record revenue as iPhone sales surged beyond expectations .', 'Apple Mac and iPad revenue metrics tracked within expected parameters .']","['negative', 'positive', 'neutral']","['synthetic', 'synthetic', 'synthetic']","[-1.0, 1.0, 0.7803711384895772]"
