date,texts,labels,sources,scores
2020-01-01,"['TCS quarterly review highlighted steady digital transformation deals performance .', 'TCS achieved robust expansion with strong gain in IT services contracts .', 'TCS upgrade by analysts citing strong IT services contracts growth and higher margin .']","['neutral', 'positive', 'neutral']","['synthetic', 'synthetic', 'synthetic']","[0.0, 1.0, 1.0]"
2020-01-02,"['TCS quarterly review highlighted steady enterprise solutions performance .', 'TCS released standard digital transformation deals financial disclosures and filings .', 'TCS exceeded revenue targets as rising consulting and cloud migration demand boosted growth .']","['positive', 'neutral', 'positive']","['synthetic', 'synthetic', 'synthetic']","[0.0, 0.0, 1.0]"
2020-01-03,"['TCS enterprise solutions metrics tracked within expected parameters .', 'TCS dividend increase reflects confident profit growth for IT services contracts .', 'TCS impairment and writedown from IT services contracts reduced overall profit .']","['neutral', 'neutral', 'negative']","['synthetic', 'synthetic', 'synthetic']","[0.0, 1.0, -1.0]"
2020-01-06,"['TCS profit drop amid enterprise solutions weakness raised default concern .', 'TCS shares soared after record consulting and cloud migration revenue and strong profit gain .', 'TCS achieved robust expansion with strong gain in IT services contracts .']","['negative', 'positive', 'positive']","['synthetic', 'synthetic', 'synthetic']","[-1.0, 1.0, 1.0]"
2020-01-07,"['TCS IT services contracts business continued gradual development this quarter .', 'TCS provided update on IT services contracts operations and near-term plans .', 'TCS exceeded revenue targets as rising digital transformation deals demand boosted growth .']","['negative', 'neutral', 'neutral']","['synthetic', 'synthetic', 'synthetic']","[0.0, 0.0, 1.0]"
2020-01-08,"['TCS raised its growth forecast citing strong enterprise solutions demand .', 'TCS announced partnership to boost enterprise solutions growth and revenue gain .', 'TCS reported consulting and cloud migration performance consistent with consensus .']","['positive', 'positive', 'negative']","['synthetic', 'synthetic', 'synthetic']","[1.0, 1.0, 0.0]"
2020-01-09,"['TCS upgrade by analysts citing strong IT services contracts growth and higher margin .', 'TCS missed enterprise solutions targets as demand decrease and slowdown continued .', 'TCS announced partnership to boost enterprise solutions growth and revenue gain .']","['positive', 'negative', 'positive']","['synthetic', 'synthetic', 'synthetic']","[1.0, -1.0, 1.0]"
2020-01-10,"['TCS faced pressure from consulting and cloud migration decline and reduced margins .', 'TCS cut its forecast citing risk of enterprise solutions contraction .', 'TCS provided update on consulting and cloud migration operations and near-term plans .']","['negative', 'negative', 'neutral']","['synthetic', 'synthetic', 'synthetic']","[-1.0, -1.0, 0.0]"
2020-01-13,"['TCS digital transformation deals valuations remained within historical ranges .', 'TCS missed IT services contracts targets as demand decrease and slowdown continued .', 'TCS traded in a narrow range as digital transformation deals news was expected .']","['neutral', 'negative', 'neutral']","['synthetic', 'synthetic', 'synthetic']","[0.0, -1.0, 0.0]"
2020-01-14,"['TCS slower digital transformation deals demand and falling margins proved disappointing .', 'TCS fell amid uncertainty over digital transformation deals and downside risk .', 'TCS IT services contracts outlook remains mixed with balanced factors .']","['negative', 'negative', 'neutral']","['synthetic', 'synthetic', 'synthetic']","[-1.0, -1.0, 0.0]"
2020-01-15,"['TCS shares soared after record enterprise solutions revenue and strong profit gain .', 'TCS cut its forecast citing risk of IT services contracts contraction .', 'TCS debt and consulting and cloud migration decline created financial pressure .']","['positive', 'negative', 'negative']","['synthetic', 'synthetic', 'synthetic']","[1.0, -1.0, -1.0]"
2020-01-16,"['TCS beat estimates with improved margin and rising digital transformation deals momentum .', 'TCS traded in a narrow range as consulting and cloud migration news was expected .', 'TCS released standard IT services contracts financial disclosures and filings .']","['positive', 'neutral', 'neutral']","['synthetic', 'synthetic', 'synthetic']","[1.0, 0.0, 0.0]"
2020-01-17,"['TCS losses and deficit from digital transformation deals challenges disappointed investors .', 'TCS outperform the sector with strong enterprise solutions demand and efficient operations .', 'TCS breakthrough in consulting and cloud migration drove innovation and profit expansion .']","['negative', 'positive', 'positive']","['synthetic', 'synthetic', 'synthetic']","[-1.0, 1.0, 1.0]"
2020-01-20,"['TCS impairment and writedown from IT services contracts reduced overall profit .', 'TCS scheduled enterprise solutions business review with typical agenda .', 'TCS hiring surge reflects robust enterprise solutions demand and growth momentum .']","['negative', 'neutral', 'positive']","['synthetic', 'synthetic', 'synthetic']","[-1.0, 0.0, 1.0]"
2020-01-21,"['TCS industry observers noted mixed signals for IT services contracts .', 'TCS reported loss as consulting and cloud migration revenue fell amid weak demand .', 'TCS missed IT services contracts targets as demand decrease and slowdown continued .']","['neutral', 'negative', 'negative']","['synthetic', 'synthetic', 'synthetic']","[0.0, -1.0, -1.0]"
2020-01-22,"['TCS consulting and cloud migration metrics tracked within expected parameters .', 'TCS win major deals boosting momentum in consulting and cloud migration revenue expansion .', 'TCS announced routine updates on consulting and cloud migration business plans .']","['neutral', 'positive', 'neutral']","['synthetic', 'synthetic', 'synthetic']","[0.0, 1.0, 0.0]"
2020-01-23,"['TCS losses and deficit from digital transformation deals challenges disappointed investors .', 'TCS achieved robust expansion with strong gain in IT services contracts .', 'TCS confirmed alignment with IT services contracts priorities announced earlier .']","['negative', 'positive', 'neutral']","['synthetic', 'synthetic', 'synthetic']","[-1.0, 1.0, 0.0]"
2020-01-24,"['TCS reported strong profit growth driven by higher enterprise solutions demand .', 'TCS beat estimates with improved margin and rising consulting and cloud migration momentum .', 'TCS sector conditions showed typical patterns for enterprise solutions .']","['positive', 'positive', 'neutral']","['synthetic', 'synthetic', 'synthetic']","[1.0, 1.0, 0.0]"
2020-01-27,"['TCS digital transformation deals valuations remained within historical ranges .', 'TCS provided update on IT services contracts operations and near-term plans .', 'TCS faces lawsuit risk and penalty concern impacting enterprise solutions .']","['neutral', 'neutral', 'positive']","['synthetic', 'synthetic', 'synthetic']","[0.0, 0.0, -1.0]"
2020-01-28,"['TCS slower consulting and cloud migration demand and falling margins proved disappointing .', 'TCS raised its growth forecast citing strong enterprise solutions demand .', 'TCS impairment and writedown from consulting and cloud migration reduced overall profit .']","['negative', 'positive', 'negative']","['synthetic', 'synthetic', 'synthetic']","[-1.0, 1.0, -1.0]"
