date,texts,labels,sources,scores
2020-01-01,"['Reliance Industries confirmed alignment with digital platform growth priorities announced earlier .', 'Reliance Industries announced routine updates on retail segment expansion business plans .', 'Reliance Industries slower Jio telecom services demand and falling margins proved disappointing .']","['neutral', 'neutral', 'negative']","['synthetic', 'synthetic', 'synthetic']","[0.8638676945949509, 1.0, -1.0]"
2020-01-02,"['Reliance Industries traded in a narrow range as digital platform growth news was expected .', 'Reliance Industries reported losses driven by weak digital platform growth with lower margins .', 'Reliance Industries Jio telecom services business continued gradual development this quarter .']","['neutral', 'negative', 'neutral']","['synthetic', 'synthetic', 'synthetic']","[0.7657368688027029, -1.0, 0.0]"
2020-01-03,"['Reliance Industries management discussed Jio telecom services strategy at the briefing .', 'Reliance Industries benefited from rising demand for digital platform growth with improved profit margin .', 'Reliance Industries faces lawsuit risk and penalty concern impacting retail segment expansion .']","['positive', 'positive', 'positive']","['synthetic', 'synthetic', 'synthetic']","[0.0, 1.0, -1.0]"
2020-01-06,"['Reliance Industries governance review of refinery and petrochemical operations found no issues .', 'Reliance Industries warning about retail segment expansion decline raised concern among investors .', 'Reliance Industries sector conditions showed typical patterns for retail segment expansion .']","['neutral', 'negative', 'neutral']","['synthetic', 'synthetic', 'synthetic']","[0.0, -1.0, 1.0]"
2020-01-07,"['Reliance Industries traded in a narrow range as digital platform growth news was expected .', 'Reliance Industries downgrade followed weak Jio telecom services and lower outlook .', 'Reliance Industries surged on positive outlook for digital platform growth with higher revenue .']","['neutral', 'negative', 'neutral']","['synthetic', 'synthetic', 'synthetic']","[0.7657368688027029, -1.0, 1.0]"
2020-01-08,"['Reliance Industries reported losses driven by weak digital platform growth with lower margins .', 'Reliance Industries beat estimates with improved margin and rising refinery and petrochemical momentum .', 'Reliance Industries losses and deficit from retail segment expansion challenges disappointed investors .']","['negative', 'positive', 'positive']","['synthetic', 'synthetic', 'synthetic']","[-1.0, 1.0, -1.0]"
2020-01-09,"['Reliance Industries reported strong profit growth driven by higher retail segment expansion demand .', 'Reliance Industries impairment and writedown from refinery and petrochemical reduced overall profit .', 'Reliance Industries provided update on refinery and petrochemical operations and near-term plans .']","['positive', 'negative', 'neutral']","['synthetic', 'synthetic', 'synthetic']","[1.0, -1.0, 0.0]"
2020-01-10,"['Reliance Industries beat estimates with improved margin and rising retail segment expansion momentum .', 'Reliance Industries missed Jio telecom services targets as demand decrease and slowdown continued .', 'Reliance Industries sector conditions showed typical patterns for digital platform growth .']","['positive', 'positive', 'neutral']","['synthetic', 'synthetic', 'synthetic']","[1.0, -1.0, 0.8638676945949509]"
2020-01-13,"['Reliance Industries sector conditions showed typical patterns for digital platform growth .', 'Reliance Industries announced routine updates on refinery and petrochemical business plans .', 'Reliance Industries reduced Jio telecom services investment amid concern about further losses .']","['neutral', 'neutral', 'negative']","['synthetic', 'synthetic', 'synthetic']","[0.8638676945949509, 0.0, -1.0]"
2020-01-14,"['Reliance Industries beat estimates with improved margin and rising refinery and petrochemical momentum .', 'Reliance Industries raised its growth forecast citing strong Jio telecom services demand .', 'Reliance Industries fell amid uncertainty over Jio telecom services and downside risk .']","['positive', 'neutral', 'negative']","['synthetic', 'synthetic', 'synthetic']","[1.0, 1.0, -1.0]"
