date,texts,labels,sources,scores
2020-01-02,"['NVIDIA scheduled gaming segment business review with typical agenda .', 'NVIDIA acquisition strengthens gaming segment and boosts revenue upside .', 'NVIDIA win major deals boosting momentum in data center revenue revenue expansion .', 'NVIDIA participated in conference with GPU and AI chip demand presentations .', 'NVIDIA operational activity in autonomous solutions continued normal trajectory .', 'NVIDIA faces lawsuit risk and penalty concern impacting data center revenue .']","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'negative']","['synthetic_fill', 'synthetic_fill', 'synthetic_fill', 'synthetic', 'synthetic', 'synthetic']","[0.0, 1.0, 1.0, 0.8458144161997584, 0.0, -1.0]"
2020-01-03,"['NVIDIA operational activity in autonomous solutions continued normal trajectory .', 'NVIDIA operational activity in autonomous solutions continued normal trajectory .', 'NVIDIA participated in conference with GPU and AI chip demand presentations .']","['neutral', 'negative', 'neutral']","['synthetic', 'synthetic', 'synthetic']","[0.0, 0.0, 0.8458144161997584]"
2020-01-06,"['NVIDIA slower gaming segment demand and falling margins proved disappointing .', 'NVIDIA debt and data center revenue decline created financial pressure .', 'NVIDIA delivered record profit reflecting innovation in data center revenue .']","['positive', 'negative', 'negative']","['synthetic', 'synthetic', 'synthetic']","[-1.0, -1.0, 1.0]"
2020-01-07,"['NVIDIA governance review of GPU and AI chip demand operations found no issues .', 'NVIDIA provided update on data center revenue operations and near-term plans .', 'NVIDIA impairment and writedown from data center revenue reduced overall profit .']","['neutral', 'neutral', 'positive']","['synthetic', 'synthetic', 'synthetic']","[0.778036102245446, 0.7440546862768029, -1.0]"
2020-01-08,"['NVIDIA announced layoffs amid data center revenue slowdown and restructuring .', 'NVIDIA governance review of data center revenue operations found no issues .', 'NVIDIA achieved robust expansion with strong gain in data center revenue .']","['positive', 'neutral', 'positive']","['synthetic', 'synthetic', 'synthetic']","[-1.0, 0.7440546862768029, 1.0]"
2020-01-09,"['NVIDIA losses and deficit from autonomous solutions challenges disappointed investors .', 'NVIDIA reported strong profit growth driven by higher autonomous solutions demand .', 'NVIDIA achieved robust expansion with strong gain in GPU and AI chip demand .']","['negative', 'positive', 'neutral']","['synthetic', 'synthetic', 'synthetic']","[-1.0, 1.0, 1.0]"
2020-01-10,"['NVIDIA return on gaming segment investment exceeded expectations with surplus .', 'NVIDIA breakthrough in gaming segment drove innovation and profit expansion .', 'NVIDIA achieved robust expansion with strong gain in GPU and AI chip demand .']","['positive', 'neutral', 'positive']","['synthetic', 'synthetic', 'synthetic']","[1.0, 1.0, 1.0]"
2020-01-13,"['NVIDIA announced partnership to boost GPU and AI chip demand growth and revenue gain .', 'NVIDIA raised its growth forecast citing strong data center revenue demand .', 'NVIDIA announced partnership to boost data center revenue growth and revenue gain .']","['positive', 'positive', 'neutral']","['synthetic', 'synthetic', 'synthetic']","[1.0, 1.0, 1.0]"
2020-01-14,"['NVIDIA reported losses driven by weak GPU and AI chip demand with lower margins .', 'NVIDIA announced partnership to boost gaming segment growth and revenue gain .', 'NVIDIA warning about autonomous solutions decline raised concern among investors .']","['neutral', 'positive', 'positive']","['synthetic', 'synthetic', 'synthetic']","[-1.0, 1.0, -1.0]"
2020-01-15,"['NVIDIA shares soared after record autonomous solutions revenue and strong profit gain .', 'NVIDIA warning about GPU and AI chip demand decline raised concern among investors .', 'NVIDIA profit drop amid autonomous solutions weakness raised default concern .']","['negative', 'positive', 'negative']","['synthetic', 'synthetic', 'synthetic']","[1.0, -1.0, -1.0]"
