date,texts,labels,sources,scores
2020-01-02,"['Google cut its forecast citing risk of AI product launches contraction .', 'Google released standard YouTube monetization financial disclosures and filings .', 'Google cloud platform services metrics tracked within expected parameters .', 'Google management discussed search advertising strategy at the briefing .', 'Google return on AI product launches investment exceeded expectations with surplus .', 'Google search advertising metrics tracked within expected parameters .']","['neutral', 'neutral', 'neutral', 'neutral', 'positive', 'neutral']","['synthetic_fill', 'synthetic_fill', 'synthetic_fill', 'synthetic', 'synthetic', 'synthetic']","[-1.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
2020-01-03,"['Google upgrade by analysts citing strong cloud platform services growth and higher margin .', 'Google scheduled search advertising business review with typical agenda .', 'Google missed search advertising targets as demand decrease and slowdown continued .']","['neutral', 'neutral', 'negative']","['synthetic', 'synthetic', 'synthetic']","[1.0, 0.0, -1.0]"
2020-01-06,"['Google slower search advertising demand and falling margins proved disappointing .', 'Google reported strong profit growth driven by higher search advertising demand .', 'Google shares dropped on weak cloud platform services demand and lower guidance .']","['negative', 'positive', 'negative']","['synthetic', 'synthetic', 'synthetic']","[-1.0, 1.0, -1.0]"
2020-01-07,"['Google return on search advertising investment exceeded expectations with surplus .', 'Google achieved robust expansion with strong gain in AI product launches .', 'Google reported strong profit growth driven by higher AI product launches demand .']","['positive', 'positive', 'positive']","['synthetic', 'synthetic', 'synthetic']","[1.0, 1.0, 1.0]"
2020-01-08,"['Google quarterly review highlighted steady search advertising performance .', 'Google sector conditions showed typical patterns for AI product launches .', 'Google faces lawsuit risk and penalty concern impacting search advertising .']","['neutral', 'neutral', 'neutral']","['synthetic', 'synthetic', 'synthetic']","[0.0, 0.0, -1.0]"
2020-01-09,"['Google outperform the sector with strong AI product launches demand and efficient operations .', 'Google confirmed alignment with cloud platform services priorities announced earlier .', 'Google impairment and writedown from YouTube monetization reduced overall profit .']","['positive', 'neutral', 'negative']","['synthetic', 'synthetic', 'synthetic']","[1.0, 0.0, -1.0]"
2020-01-10,"['Google delivered record profit reflecting innovation in YouTube monetization .', 'Google maintained stable YouTube monetization operations with results in line .', 'Google downgrade followed weak cloud platform services and lower outlook .']","['positive', 'neutral', 'negative']","['synthetic', 'synthetic', 'synthetic']","[1.0, 0.0, -1.0]"
2020-01-13,"['Google exceeded revenue targets as rising YouTube monetization demand boosted growth .', 'Google operational activity in AI product launches continued normal trajectory .', 'Google recovery in search advertising drove higher profit and record revenue increase .']","['positive', 'neutral', 'positive']","['synthetic', 'synthetic', 'synthetic']","[1.0, 0.0, 1.0]"
2020-01-14,"['Google AI product launches valuations remained within historical ranges .', 'Google faced pressure from AI product launches decline and reduced margins .', 'Google quarterly review highlighted steady cloud platform services performance .']","['neutral', 'negative', 'neutral']","['synthetic', 'synthetic', 'synthetic']","[0.0, -1.0, 0.0]"
2020-01-15,"['Google raised its growth forecast citing strong cloud platform services demand .', 'Google losses and deficit from search advertising challenges disappointed investors .', 'Google benefited from rising demand for YouTube monetization with improved profit margin .']","['positive', 'negative', 'negative']","['synthetic', 'synthetic', 'synthetic']","[1.0, -1.0, 1.0]"
2020-01-16,"['Google shares dropped on weak cloud platform services demand and lower guidance .', 'Google achieved robust expansion with strong gain in AI product launches .', 'Google fell amid uncertainty over YouTube monetization and downside risk .']","['positive', 'positive', 'positive']","['synthetic', 'synthetic', 'synthetic']","[-1.0, 1.0, -1.0]"
2020-01-17,"['Google industry observers noted mixed signals for search advertising .', 'Google traded in a narrow range as cloud platform services news was expected .', 'Google industry observers noted mixed signals for AI product launches .']","['neutral', 'neutral', 'neutral']","['synthetic', 'synthetic', 'synthetic']","[0.0, 0.0, 0.0]"
