date,texts,labels,sources,scores
2020-01-02,"['Tesla maintained stable autonomous driving operations with results in line .', 'Tesla provided update on energy storage solutions operations and near-term plans .', 'Tesla energy storage solutions valuations remained within historical ranges .', 'Tesla market activity reflected standard energy storage solutions volumes .', 'Tesla missed vehicle deliveries targets as demand decrease and slowdown continued .', 'Tesla posted record revenue as energy storage solutions surged beyond expectations .']","['neutral', 'neutral', 'neutral', 'neutral', 'positive', 'positive']","['synthetic_fill', 'synthetic_fill', 'synthetic_fill', 'synthetic', 'synthetic', 'synthetic']","[0.0, 0.0, 0.0, 0.0, -1.0, 1.0]"
2020-01-03,"['Tesla reported strong profit growth driven by higher vehicle deliveries demand .', 'Tesla exceeded revenue targets as rising energy storage solutions demand boosted growth .', 'Tesla posted record revenue as energy storage solutions surged beyond expectations .']","['positive', 'positive', 'positive']","['synthetic', 'synthetic', 'synthetic']","[1.0, 1.0, 1.0]"
2020-01-06,"['Tesla return on autonomous driving investment exceeded expectations with surplus .', 'Tesla return on vehicle deliveries investment exceeded expectations with surplus .', 'Tesla breakthrough in Gigafactory production drove innovation and profit expansion .']","['positive', 'positive', 'positive']","['synthetic', 'synthetic', 'synthetic']","[1.0, 1.0, 1.0]"
2020-01-07,"['Tesla posted record revenue as autonomous driving surged beyond expectations .', 'Tesla upgrade by analysts citing strong Gigafactory production growth and higher margin .', 'Tesla delivered record profit reflecting innovation in Gigafactory production .']","['positive', 'positive', 'positive']","['synthetic', 'synthetic', 'synthetic']","[1.0, 1.0, 1.0]"
2020-01-08,"['Tesla exceeded revenue targets as rising energy storage solutions demand boosted growth .', 'Tesla hiring surge reflects robust autonomous driving demand and growth momentum .', 'Tesla provided update on Gigafactory production operations and near-term plans .']","['positive', 'positive', 'negative']","['synthetic', 'synthetic', 'synthetic']","[1.0, 1.0, 0.0]"
2020-01-09,"['Tesla return on autonomous driving investment exceeded expectations with surplus .', 'Tesla beat estimates with improved margin and rising vehicle deliveries momentum .', 'Tesla announced partnership to boost vehicle deliveries growth and revenue gain .']","['positive', 'positive', 'positive']","['synthetic', 'synthetic', 'synthetic']","[1.0, 1.0, 1.0]"
2020-01-10,"['Tesla missed autonomous driving targets as demand decrease and slowdown continued .', 'Tesla recall and fine risk created uncertainty for autonomous driving .', 'Tesla impairment and writedown from Gigafactory production reduced overall profit .']","['negative', 'negative', 'negative']","['synthetic', 'synthetic', 'synthetic']","[-1.0, -1.0, -1.0]"
2020-01-13,"['Tesla achieved robust expansion with strong gain in vehicle deliveries .', 'Tesla acquisition strengthens energy storage solutions and boosts revenue upside .', 'Tesla recall and fine risk created uncertainty for energy storage solutions .']","['positive', 'positive', 'negative']","['synthetic', 'synthetic', 'synthetic']","[1.0, 1.0, -1.0]"
2020-01-14,"['Tesla acquisition strengthens autonomous driving and boosts revenue upside .', 'Tesla hiring surge reflects robust autonomous driving demand and growth momentum .', 'Tesla reported strong profit growth driven by higher energy storage solutions demand .']","['positive', 'positive', 'positive']","['synthetic', 'synthetic', 'synthetic']","[1.0, 1.0, 1.0]"
2020-01-15,"['Tesla outperform the sector with strong vehicle deliveries demand and efficient operations .', 'Tesla missed estimates with disappointing autonomous driving decline .', 'Tesla delivered record profit reflecting innovation in vehicle deliveries .']","['positive', 'negative', 'positive']","['synthetic', 'synthetic', 'synthetic']","[1.0, -1.0, 1.0]"
